"TYPE";"CODE";"NAME";"STATUS";"IS_DEFAULT";"ENDPOINT"
BRAND;FW;Flowiee;0;"0";
BRAND;ROOT;Thương hiệu;0;"0";/system/category/brand
COLOR;BLACK;Đen 112;1;"0";
COLOR;BLACK;Đen;0;"0";
COLOR;ORANGE;Cam;0;"0";
COLOR;ROOT;Màu sắc;0;"0";/system/category/color
COLOR;WHITE;Trắng;0;"0";
COMMUNE;"00001";Phường Phúc Xá;0;"0";
COMMUNE;"00004";Phường Trúc Bạch;0;"0";
COMMUNE;"00006";Phường Vĩnh Phúc;0;"0";
COMMUNE;"00007";Phường Cống Vị;0;"0";
COMMUNE;"00008";Phường Liễu Giai;0;"0";
COMMUNE;"00010";Phường Nguyễn Trung Trực;0;"0";
COMMUNE;"00013";Phường Quán Thánh;0;"0";
COMMUNE;"00016";Phường Ngọc Hà;0;"0";
COMMUNE;"00019";Phường Điện Biên;0;"0";
COMMUNE;"00022";Phường Đội Cấn;0;"0";
COMMUNE;"00025";Phường Ngọc Khánh;0;"0";
COMMUNE;"00028";Phường Kim Mã;0;"0";
COMMUNE;"00031";Phường Giảng Võ;0;"0";
COMMUNE;"00034";Phường Thành Công;0;"0";
COMMUNE;"00037";Phường Phúc Tân;0;"0";
COMMUNE;"00040";Phường Đồng Xuân;0;"0";
COMMUNE;"00043";Phường Hàng Mã;0;"0";
COMMUNE;"00046";Phường Hàng Buồm;0;"0";
COMMUNE;"00049";Phường Hàng Đào;0;"0";
COMMUNE;"00052";Phường Hàng Bồ;0;"0";
COMMUNE;"00055";Phường Cửa Đông;0;"0";
COMMUNE;"00058";Phường Lý Thái Tổ;0;"0";
COMMUNE;"00061";Phường Hàng Bạc;0;"0";
COMMUNE;"00064";Phường Hàng Gai;0;"0";
COMMUNE;"00067";Phường Chương Dương;0;"0";
COMMUNE;"00070";Phường Hàng Trống;0;"0";
COMMUNE;"00073";Phường Cửa Nam;0;"0";
COMMUNE;"00076";Phường Hàng Bông;0;"0";
COMMUNE;"00079";Phường Tràng Tiền;0;"0";
COMMUNE;"00082";Phường Trần Hưng Đạo;0;"0";
COMMUNE;"00085";Phường Phan Chu Trinh;0;"0";
